City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
309,Tangzhai,CN,74.08,scattered clouds,34.4328,116.5911,Huilong Business Hotel
310,Bathsheba,BB,86.61,few clouds,13.2167,-59.5167,Atlantis Hotel
312,Valparaiso,CL,62.83,clear sky,-33.0393,-71.6273,Hotel Ultramar
313,Manuk Mangkaw,PH,82.63,light rain,4.8,119.85,
317,Makakilo City,US,82.72,overcast clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
319,Kozhva,RU,61.45,overcast clouds,65.1073,57.0459,Gostinicha IP Kayuda Olga Aleksandrovna
320,Pacific Grove,US,80.2,scattered clouds,36.6177,-121.9166,Lovers Point Inn
322,Porto Novo,BJ,75.4,scattered clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
323,Sao Miguel,BR,75.97,broken clouds,-5.4667,-35.3667,CEJ - Centro Escoteiro da Juventude
324,Maragogi,BR,74.77,broken clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
326,Sekovici,BA,61.25,clear sky,44.2986,18.8528,
327,Basco,PH,84.67,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
329,San Pedro,PH,78.03,few clouds,14.35,121.0167,Palines Apartment and Guesthouse
330,Tutoia,BR,80.04,scattered clouds,-2.7619,-42.2744,Pousada Guará's
331,Sunyani,GH,70.39,overcast clouds,7.3399,-2.3268,Nass Lodge
333,Port-Gentil,GA,75.16,broken clouds,-0.7193,8.7815,Fengshui Residence
338,Vila,PT,69.69,scattered clouds,42.0304,-8.1588,Hotel Castrum Villae by Walk Hotels
340,Pangkalanbuun,ID,70.27,overcast clouds,-2.6833,111.6167,Grand Kecubung Hotel
341,Santa Rosa,PH,78.78,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
342,Hualmay,PE,65.1,few clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
343,Fairbanks,US,65.08,light rain,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
344,Black River,JM,88.43,broken clouds,18.0264,-77.8487,Idlers' Rest Beach Hotel
345,Taywarah,AF,62.29,clear sky,33.35,64.4167,
346,Ucluelet,CA,64.71,broken clouds,48.9329,-125.5528,Black Rock Oceanfront Resort
347,College,US,65.07,broken clouds,64.8569,-147.8028,Pike's Waterfront Lodge
349,Sukhobezvodnoye,RU,60.21,overcast clouds,57.0491,44.8891,
350,Palauig,PH,79.59,broken clouds,15.435,119.9045,Villa Raphael Resort
351,Caravelas,BR,72.93,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
352,Kroya,ID,75.18,broken clouds,-7.6331,109.2461,Devina kost & Homestay Kroya
353,Jiuquan,CN,70.97,overcast clouds,39.7432,98.5174,Jiuquan Hotel
354,Nauta,PE,86.58,light rain,-4.5061,-73.5757,Amazon Exploring Expedition - Eretzen Tá Lodge
356,Belyy Yar,RU,64.29,moderate rain,53.6039,91.3903,Pasportnyy Stol
357,Mahajanga,MG,75.22,scattered clouds,-15.7167,46.3167,Hôtel Restaurant Gourmand Coco Lodge Majunga
358,Tambun,ID,77.04,few clouds,-6.2641,107.0712,Kost Putra Metland Tambun
361,Ko Samui,TH,82.54,overcast clouds,9.5357,99.9357,The Passage
363,Sao Joao Da Barra,BR,78.89,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
365,Yei,SS,65.75,broken clouds,4.095,30.6779,Twins Hotel Yei
366,Sao Filipe,CV,75.2,scattered clouds,14.8961,-24.4956,Hotel Xaguate
368,Sambava,MG,70.07,light rain,-14.2667,50.1667,Melrose
369,Leh,IN,63.52,broken clouds,34.1667,77.5833,Hotel Ladakh Greens
370,Savannah Bight,HN,83.1,scattered clouds,16.45,-85.85,Villa on Dunbar Rock
371,Grafton,US,89.29,clear sky,42.207,-71.6856,The Grafton Inn
372,Tenenkou,ML,86.49,scattered clouds,14.4572,-4.9169,
375,Kirakira,SB,80.04,broken clouds,-10.4544,161.9205,SanBiz Lodge
376,Sidi Ali,DZ,76.26,clear sky,36.0998,0.4206,Complexe touristique haje bezine
377,Wlingi,ID,68.88,broken clouds,-8.0776,112.3311,SPOT ON 1847 Hotel Maya
378,Zhongshu,CN,65.64,overcast clouds,24.5167,103.7667,Xintianlong Hotel
379,Lorengau,PG,81.9,light rain,-2.0226,147.2712,Lorengau Harbourside Hotel
381,Irece,BR,74.68,clear sky,-11.3042,-41.8558,Hotel Copa 70
382,Tiarei,PF,80.62,scattered clouds,-17.5333,-149.3333,Le Rocher de Tahiti
385,Saint-Pierre,RE,69.91,clear sky,-21.3393,55.4781,Alize Plage
387,Sao Jose Da Coroa Grande,BR,75.18,broken clouds,-8.8978,-35.1478,Crôa Mares Hotel
390,Erzin,TR,75.31,clear sky,36.9559,36.2,Artemis Otel
391,Podor,MR,85.68,few clouds,16.6527,-14.9587,Auberge Du Tékrour
392,Yebaishou,CN,63.73,clear sky,41.3975,119.6408,Siji Home
394,Kutahya,TR,60.28,clear sky,39.4242,29.9833,Grand Çınar Hotel
395,Isangel,VU,75.74,overcast clouds,-19.55,169.2667,Tanna Lodge
396,Saint-Augustin,CA,63.27,overcast clouds,51.226,-58.6502,
397,Sergeyevka,KZ,63.19,light rain,53.88,67.4158,Amina
399,Washington,US,81.48,clear sky,47.5001,-120.5015,Sky Meadows Bed & Breakfast
400,Takoradi,GH,74.95,broken clouds,4.8845,-1.7554,Raybow International Hotel
401,Abashiri,JP,67.39,scattered clouds,44.0213,144.2697,Tōyoko Inn Hokkaidō Okhotsk Abashiri Ekimae
402,Los Llanos De Aridane,ES,69.55,clear sky,28.6585,-17.9182,Valle Aridane
403,Lerik,AZ,63.32,clear sky,38.7726,48.4128,9 QARDAŞ
404,Tocopilla,CL,64.26,few clouds,-22.092,-70.1979,Hotel Galvarino
406,Krusa,DK,62.24,overcast clouds,54.851,9.4013,Hotel Alte Direktionsvilla Kupfermühle
407,Yokadouma,CM,69.62,light rain,3.5167,15.05,Hôtel De Ville De Yokadouma
409,Plettenberg Bay,ZA,62.11,clear sky,-34.0527,23.3716,Thanda Vista B&B
411,Nanakuli,US,84.15,overcast clouds,21.3906,-158.1547,Camp Pālehua
413,Acapulco,MX,87.62,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
415,Hovd,MN,64.54,few clouds,48.0056,91.6419,Hotel Khovd
416,Ponta Delgada,PT,68.72,broken clouds,37.7333,-25.6667,Vila Nova Hotel
417,Payo,ID,72.28,broken clouds,-3.7508,103.6372,Mess keban agung
418,Gouyave,GD,83.17,few clouds,12.1646,-61.7296,Rumboat Retreat
419,Mandiana,GN,73.67,overcast clouds,10.6333,-8.6833,Motels rouzo
420,Holbeach,GB,77.05,overcast clouds,52.804,0.0144,Elloe Lodge
421,Sendhwa,IN,75.63,overcast clouds,21.6833,75.1,Hotel Shagun Garden
422,Llangefni,GB,69.58,overcast clouds,53.2556,-4.3106,Bull Hotel
425,Tezu,IN,77.14,light rain,27.9167,96.1667,Circuit House
427,Jaque,PA,82.74,overcast clouds,7.5175,-78.1703,Aventuras Jaque S.A
428,Lata,PT,64.09,clear sky,40.1629,-8.3327,Casa Maquia
429,Mitsamiouli,KM,76.89,few clouds,-11.3847,43.2844,Foyer ADM
431,Chokwe,MZ,62.19,clear sky,-24.5333,32.9833,Complexo Sonho Real
433,Davila,PH,81.46,overcast clouds,18.4726,120.5763,Blue Ridge Beach Resort
434,Asfi,MA,69.93,clear sky,32.2994,-9.2372,Hôtel Abda
435,Ipala,GT,83.52,scattered clouds,14.6167,-89.6167,Hotel Ipala Real
436,Kuryk,KZ,85.24,clear sky,43.2,51.65,Gostinitsa Kuryk - Otel' Dlya Vsekh Kategoriy Kliyentov .
437,Yandyki,RU,83.79,scattered clouds,45.7691,47.1258,
438,Surt,LY,79.41,clear sky,31.2089,16.5887,الهادي ابوشعاله سرت
439,San Lawrenz,MT,78.85,clear sky,36.0553,14.204,San Andrea Hotel
441,Zhob,PK,74.17,few clouds,31.3411,69.4481,ROOM # 105 DUBAI HOTEL ZHOB
443,Ust-Tsilma,RU,63.0,overcast clouds,65.441,52.1498,U Praskov'i
444,Birjand,IR,79.27,clear sky,32.8663,59.2211,Birjand Tourist Hotel
445,Kalmunai,LK,80.65,overcast clouds,7.4167,81.8167,VS Villa
446,Amahai,ID,75.92,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
