City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
217,Kaura Namoda,NG,12.5898,6.5779,75.52,82,100,3.18,overcast clouds
218,Hami,CN,42.8,93.45,78.84,27,4,3.15,clear sky
219,Carutapera,BR,-1.195,-46.02,79.86,78,67,7.99,broken clouds
220,Khatanga,RU,71.9667,102.5,58.06,60,100,4.85,overcast clouds
221,Port Blair,IN,11.6667,92.75,77.04,94,75,2.3,mist
222,Ridgecrest,US,35.6225,-117.6709,111.69,12,0,13.8,clear sky
223,Carballo,ES,43.213,-8.691,67.42,89,77,1.19,broken clouds
224,Erenhot,CN,43.6475,111.9767,67.51,32,3,2.75,clear sky
225,Abalak,RU,58.1286,68.5944,56.84,65,60,4.16,broken clouds
226,Thompson,CA,55.7435,-97.8558,80.76,50,40,13.8,scattered clouds
227,Svetlogorsk,BY,52.6333,29.7333,52.56,96,62,7.27,broken clouds
228,Kruisfontein,ZA,-34.0033,24.7314,69.89,25,2,20.54,clear sky
229,Santa Cruz Cabralia,BR,-16.2781,-39.0247,73.63,83,75,8.05,broken clouds
230,Aguimes,ES,27.9054,-15.4461,70.66,68,20,31.07,few clouds
231,Debre Tabor,ET,11.85,38.0167,52.92,90,100,2.15,light rain
232,Salinopolis,BR,-0.6136,-47.3561,80.53,80,54,10.04,broken clouds
233,Mount Isa,AU,-20.7333,139.5,46.17,81,1,0.0,clear sky
234,Bocas Del Toro,PA,9.3333,-82.25,82.56,70,90,6.82,overcast clouds
235,Bambanglipuro,ID,-7.95,110.2833,75.38,85,92,8.3,overcast clouds
236,Saskylakh,RU,71.9167,114.0833,48.34,52,96,8.14,overcast clouds
237,Nanortalik,GL,60.1432,-45.2371,43.3,86,99,13.22,overcast clouds
238,Methoni,GR,36.8197,21.7049,83.21,62,0,7.34,clear sky
239,Carnarvon,AU,-24.8667,113.6333,57.27,94,40,3.44,scattered clouds
240,Paamiut,GL,61.994,-49.6678,43.47,86,100,5.06,overcast clouds
241,Verkhoyansk,RU,67.5447,133.385,57.38,65,100,2.24,overcast clouds
242,Padang,ID,-0.9492,100.3543,76.28,77,12,4.14,few clouds
243,Solnechnyy,RU,50.7214,136.6319,61.52,85,100,3.83,overcast clouds
244,Anito,PH,12.4497,125.2886,77.18,92,100,5.44,overcast clouds
245,Iranshahr,IR,27.2025,60.6848,95.34,41,0,11.5,clear sky
246,Hamilton,US,39.1834,-84.5333,74.25,94,100,13.8,light rain
247,Nara,JP,34.6851,135.8049,76.5,73,100,4.61,overcast clouds
248,Yarkovo,RU,57.4028,67.0786,57.13,86,14,3.04,few clouds
249,Nemuro,JP,43.3236,145.575,62.64,100,100,10.69,overcast clouds
250,Rocha,UY,-34.4833,-54.3333,45.09,71,0,7.31,clear sky
251,Sosnogorsk,RU,63.6023,53.8817,63.73,62,85,1.83,overcast clouds
252,Aksarka,RU,66.5606,67.7975,57.61,66,100,5.82,overcast clouds
253,Ulladulla,AU,-35.35,150.4667,48.52,61,0,13.62,clear sky
254,Hameenlinna,FI,60.996,24.4643,55.15,85,100,5.08,overcast clouds
255,Maniitsoq,GL,65.4167,-52.9,42.84,95,100,17.54,light rain
256,Dingle,PH,10.9995,122.6711,74.75,93,100,1.9,light rain
257,Miri,MY,4.4148,114.0089,77.14,100,20,2.3,few clouds
258,Ixtapa,MX,20.7,-105.2,85.23,70,75,8.05,broken clouds
259,Nsoko,SZ,-27.0333,31.95,58.26,92,0,2.39,clear sky
260,Faya,SA,18.3851,42.4509,68.52,41,37,5.06,scattered clouds
261,Berbera,SO,10.4396,45.0143,92.64,39,5,22.77,clear sky
262,Kaitangata,NZ,-46.2817,169.8464,46.04,85,84,5.68,broken clouds
263,Comodoro Rivadavia,AR,-45.8667,-67.5,48.06,49,0,24.16,clear sky
264,Villa Del Rosario,CO,7.8339,-72.4742,86.38,62,40,6.91,scattered clouds
265,Kajaani,FI,64.2273,27.7285,55.45,94,75,5.75,broken clouds
266,East Brainerd,US,34.9959,-85.1502,94.06,53,75,9.22,broken clouds
267,Anadyr,RU,64.75,177.4833,43.3,41,0,29.08,clear sky
268,Kauhajoki,FI,62.4333,22.1833,53.58,92,100,4.07,overcast clouds
269,Santa Lucia,ES,27.9117,-15.5407,65.77,68,20,31.07,few clouds
